Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D8.0mm_P3.50mm,2,100u/35V,
"C10, C11, C12, C13, C16, C17, C19, C20, C21, C3, C4, C5, C6, C7",0805,14,100n,
"C14, C15",CP_Radial_D8.0mm_P2.50mm,2,470u/16V,
C18,CP_EIA-3528-21_Kemet-B,1,"100u/6,3V",
"C8, C9",0805,2,1u,
"D1, D2, D7, D8",D_MiniMELF,4,LL4148,
"D10, D11, D12, D13, D14, D15, D9",D_MiniMELF,7,3V3,
"D16, D17",D_SMA,2,D_TVS,
"D18, D19, D20, D21",LED_D5.0mm,4,LED,
"D22, D4",TO-220-3_V_Thick_Pads,2,D_Schottky_Dual_CommonAnode_KAK_Parallel,
"D23, D5",LED_PLCC-2_3.4x3.0mm_KA,2,LED,
"D3, D6",D_MiniMELF,2,18V,
F1,Fuse_Blade_ATO_directSolder,1,"6,3A",
F2,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,2A,
F3,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,"6,3A",
F4,2512,1,2A,
J1,"Flat-6,3mm-connector-4P",1,BATT_OUT,
J10,PinHeader_1x04_P2.54mm_Vertical,1,RS485,
"J11, J4",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,HEATSING_TEMP1,
J12,Hirose_DF63M-2P-3.96DSA_1x02_P3.96mm_Vertical,1,External Current Shunt,
J13,"Flat-6,3mm-connector-4P",1,BATT_IN,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,
J5,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,FAN1,
J6,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,FAN2,
J7,"Flat-6,3mm-connector-2P",1,BATT_12V,
J8,PinHeader_1x06_P2.54mm_Vertical,1,ICP,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,GND_Bridged,
L1,L_Axial_L26.0mm_D11.0mm_P30.48mm_Horizontal_Fastron_77A,1,L,
MOD1,LM2596-Step-Down-Conv,1,LM2596-Step-Down,
"Q1, Q12, Q17, Q18, Q19, Q20, Q21, Q22, Q8, Q9",SOT-23,10,BC817,
"Q10, Q11, Q14, Q15",TO-220-3_V_Thick_Pads,4,NPN,
"Q13, Q16",TO-126-3_Vertical,2,BD238,
"Q2, Q6",TO-92_Inline_Wide,2,BC337,
"Q3, Q7",TO-92_Inline_Wide,2,BC327,
"Q4, Q5",TO-220-3_V_Thick_Pads,2,PMOS,
"R1, R11",0805,2,4k7,
"R10, R12, R2, R28, R3, R43, R45, R47, R54, R55, R56, R58, R60, R62, R77, R79, R8",0805,17,10k,
"R13, R14, R16, R17",0805,4,150k,
"R15, R18, R19, R31, R34, R35, R52",0805,7,120R,
"R20, R21, R22, R23, R38, R4, R50, R6, R9",0805,9,1k,
"R24, R25, R36, R37, R39, R40, R75, R76",0805,8,0R,
"R26, R27, R41, R64, R66, R67, R69, R70",2512,8,0R1,
"R29, R30",0805,2,2k2,
"R32, R33",0805,2,100k,
"R42, R65, R68, R71",R_Axial_DIN0617_L17.0mm_D6.0mm_P7.62mm_Vertical,4,0R1,
"R44, R46",0805,2,6k2,
R48,0805,1,6k8,
R49,0805,1,1k3,
R5,Resistor-Power-5W-L22-W10,1,20A/75mV,
"R51, R53",0805,2,510R,
"R57, R59, R61, R63, R78, R80",0805,6,220R,
R7,0805,1,100R,
"R72, R73, R74",R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,3,20A/75mV,
"U1, U2",SOIC-14_3.9x8.7mm_P1.27mm,2,LM324,
U3,SO-8_3.9x4.9mm_P1.27mm,1,LM358,
U4,SOIC-28W_7.5x17.9mm_P1.27mm,1,PIC16F886-IP,
U5,TO-92_Inline_Wide,1,TL431LP,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,ST485,
U7,VSSOP-10_3x3mm_P0.5mm,1,INA226,
