Designator,Mid X,Mid Y,Rotation,Layer
C1,173.7,-60.8,180.0,top
C14,247.147349,-98.4,180.0,top
C15,247.2,-107.5,180.0,top
C16,206.52,-106.29,270.0,bottom
C17,188.125,-130.25,270.0,bottom
C18,204.9,-104.2375,90.0,top
C19,218.3,-86.1,90.0,bottom
C2,230.252651,-57.0,0.0,top
C20,191.8,-111.7,270.0,bottom
C21,201.2,-83.7,90.0,bottom
C3,245.47,-123.04,270.0,bottom
C4,210.3,-120.0,90.0,bottom
C7,234.1,-92.3,0.0,bottom
C8,239.88,-91.18,90.0,bottom
C9,232.6925,-98.82,0.0,bottom
D1,193.4775,-68.1225,0.0,bottom
D10,233.645,-112.96,180.0,bottom
D11,241.6675,-113.1375,180.0,bottom
D12,229.4225,-119.5825,270.0,bottom
D13,229.4675,-125.3825,270.0,bottom
D14,200.55,-128.885,270.0,bottom
D15,190.6,-129.5,270.0,bottom
D16,180.65,-109.75,90.0,bottom
D17,196.6,-109.25,90.0,bottom
D18,189.9,-86.35,0.0,top
D19,189.935,-92.85,0.0,top
D2,189.0,-57.8,180.0,top
D20,196.775,-86.4,0.0,top
D21,196.775,-92.95,0.0,top
D22,174.84,-52.5675,0.0,top
D23,250.5,-90.1,90.0,top
D3,198.2,-57.3,0.0,bottom
D4,239.64,-52.5675,0.0,top
D5,246.1,-90.0,90.0,top
D6,222.7,-57.35,0.0,bottom
D7,230.3,-90.0,180.0,bottom
D8,221.0,-87.0,270.0,bottom
D9,223.075,-131.0,270.0,bottom
F1,179.9,-77.5,90.0,top
F2,174.775,-116.05,90.0,top
F3,165.3,-116.04,90.0,top
F4,223.1,-112.925,0.0,top
J1,244.575,-73.4,0.0,top
J10,189.785,-105.195,180.0,top
J11,231.05,-131.4,180.0,top
J12,208.22,-76.9,180.0,top
J13,167.575,-76.5,270.0,top
J2,225.3,-120.48,0.0,top
J3,250.2,-132.5,0.0,top
J4,239.85,-131.4,180.0,top
J5,232.9,-107.3,270.0,top
J6,239.0,-107.2,270.0,top
J7,167.675,-95.475,270.0,top
J8,199.95,-104.75,180.0,top
J9,189.785,-99.235,180.0,top
L1,209.11,-63.7,0.0,top
MOD1,201.1,-126.2,90.0,top
Q1,188.2,-67.2,270.0,bottom
Q10,239.46,-148.6325,180.0,top
Q11,217.46,-148.6875,180.0,top
Q12,202.18,-121.7675,0.0,bottom
Q13,254.795,-96.535,270.0,top
Q14,173.54,-148.6325,180.0,top
Q15,195.46,-148.6325,180.0,top
Q16,254.945,-108.46,270.0,top
