Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-6032-28_Kemet-C,1,100u,
"C10, C2, C3, C5, C6, C8, C9",0805,7,100n,
C11,CP_Radial_D10.0mm_P2.50mm,1,"470u/6,3V",
"C4, C7",CP_EIA-3528-21_Kemet-B,2,22u,
"D1, D3",LED_D5.0mm,2,LED-AL-IR50,
"D2, D4",LED_D5.0mm,2,BPV10,
J1,JST_XH_B5B-XH-A_1x05_P2.54mm_Vertical,1,DATA_INPUT,
J2,JST_XH_B5B-XH-A_1x05_P2.54mm_Vertical,1,DATA_BRIDGE,
J3,Pin_Header_Straight_1x06_Pitch2.54mm,1,POWER_RS485,
J4,PinHeader_1x04_P2.54mm_Vertical,1,PROBE_CONN,
"J5_2, J5",Pin_D1.4mm_L8.5mm_W2.8mm_FlatFork,2,IN,
J6,Pin_D1.4mm_L8.5mm_W2.8mm_FlatFork,1,GND,
J7,Pin_D1.0mm_L10.0mm,1,GND,
"J8_2, J8",Pin_D1.4mm_L8.5mm_W2.8mm_FlatFork,2,OUT,
"Q1, Q10, Q11, Q12, Q13, Q14, Q16, Q17, Q18, Q19, Q2, Q21, Q3, Q5, Q6, Q7, Q8, Q9",SOT-23,18,BC807,
"Q15, Q4",SOT-23,2,BC817,
Q20,TO-220-3_Vertical,1,IRF540N,
"R1, R10, R13, R14, R15, R16, R2, R23, R24, R32, R33, R34, R35, R37, R38, R6, R9",0805,17,10k,
"R11, R12",0805,2,120R,
"R17, R18, R21, R22, R25, R27, R29, R30",0805,8,200R,
"R19, R3",0805,2,160R,
"R20, R26, R4, R5",0805,4,47k,
"R28, R7",0805,2,22k,
"R31, R36, R8",0805,3,1k,
U1,SO-16_3.9x9.9mm_P1.27mm,1,74HC14,
U10,SOIC-18W_7.5x11.6mm_P1.27mm,1,ULN2803A,
"U11, U12, U9",JZG_E5627BRG-1_7_SEGMENT_DISPLAY,3,~,
U13,SOT-23-6_Handsoldering,1,AP74700,
"U14, U15, U16, U2",4-digit-7-segment-display_smd,4,CA56-12SURKWA,
"U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,ST485EBDR,
U5,SOT-223-3_TabPin2,1,AMS1117-5.0,
"U6, U7, U8",SO-16_3.9x9.9mm_P1.27mm,3,74HC595,
