Designator,Mid X,Mid Y,Rotation,Layer
C1,200.8,-122.0875,270.0,bottom
C10,112.06,-106.8,270.0,bottom
C11,111.392323,-61.58,0.0,bottom
C2,202.2,-127.5875,180.0,bottom
C3,198.1,-127.6875,0.0,bottom
C4,192.9775,-136.71,180.0,bottom
C5,182.837,-88.0195,180.0,top
C6,183.98,-91.0675,270.0,top
C7,190.965,-91.0675,90.0,top
C8,113.54,-137.49,270.0,bottom
C9,129.21,-137.72,0.0,bottom
D1,191.4,-122.6625,270.0,top
D2,184.9,-122.7225,270.0,top
D3,191.6,-56.3125,270.0,top
D4,185.0,-56.2725,270.0,top
J1,108.875,-120.0875,90.0,bottom
J2,108.275,-75.7875,90.0,bottom
J3,188.53,-102.7875,270.0,top
J4,188.2372,-76.0375,270.0,bottom
J5_2,200.49,-85.3525,0.0,top
J5,200.49,-89.1625,90.0,top
J6,200.4392,-94.5375,0.0,top
J7,175.6996,-94.5727,0.0,top
J8_2,175.725,-89.1625,90.0,top
J8,175.725,-85.3525,0.0,top
Q1,135.15,-48.8175,270.0,bottom
Q10,123.037,-119.577,270.0,bottom
Q11,123.3,-85.3,270.0,bottom
Q12,191.4125,-64.0875,180.0,bottom
Q13,126.908,-119.5675,270.0,bottom
Q14,127.264,-85.3,270.0,bottom
Q15,184.1,-62.0375,180.0,bottom
Q16,130.784,-119.5375,270.0,bottom
Q17,131.201,-85.3,270.0,bottom
Q18,134.721,-119.5375,270.0,bottom
Q19,135.138,-85.3,270.0,bottom
Q2,131.1,-48.755,270.0,bottom
Q20,188.425,-83.4475,0.0,top
Q21,122.2375,-110.12,0.0,bottom
Q3,191.25,-130.2,270.0,bottom
Q4,183.8,-127.8375,180.0,bottom
Q5,127.1,-48.725,270.0,bottom
Q6,123.1,-48.755,270.0,bottom
Q7,119.1,-48.725,270.0,bottom
Q8,119.1,-119.5375,270.0,bottom
Q9,119.302,-85.291,270.0,bottom
R1,136.1,-53.2875,270.0,bottom
R10,119.6,-53.2875,270.0,bottom
R11,195.6,-108.7875,0.0,bottom
R12,188.3,-108.6875,0.0,bottom
R13,119.452,-123.5875,270.0,bottom
R14,120.279,-89.7935,270.0,bottom
R15,123.532,-123.5875,270.0,bottom
R16,124.232,-89.7935,270.0,bottom
R17,137.923,-118.6375,90.0,bottom
R18,140.59,-118.6375,90.0,bottom
R19,191.35,-61.0375,180.0,bottom
R2,131.6,-53.2875,270.0,bottom
R20,187.6,-62.0375,270.0,bottom
R21,143.13,-118.6375,90.0,bottom
R22,145.67,-118.6375,90.0,bottom
R23,127.326,-123.5875,270.0,bottom
R24,128.153,-89.7935,270.0,bottom
R25,148.083,-118.6375,90.0,bottom
R26,194.9125,-64.0875,270.0,bottom
R27,150.75,-118.6375,90.0,bottom
R28,183.1,-66.2875,90.0,bottom
R29,153.29,-118.6375,90.0,bottom
R3,191.25,-126.9875,0.0,bottom
R30,155.703,-118.6375,90.0,bottom
R31,197.4125,-64.0875,270.0,bottom
R32,131.009,-123.5875,270.0,bottom
R33,132.09,-89.7935,270.0,bottom
R34,135.2,-123.5875,270.0,bottom
R35,136.027,-89.7935,270.0,bottom
R36,181.44,-91.0675,90.0,top
R37,195.5,-119.3875,0.0,bottom
R38,117.37,-112.09,270.0,bottom
R4,187.75,-127.8875,270.0,bottom
R5,187.7,-132.1875,90.0,bottom
R6,127.6,-53.2875,270.0,bottom
R7,183.8125,-130.75,0.0,bottom
R8,184.05,-133.6375,0.0,bottom
R9,123.6,-53.2875,270.0,bottom
U1,179.2,-112.6875,180.0,bottom
U10,147.45,-131.3875,90.0,bottom
U11,140.453,-125.4665,0.0,top
U12,140.453,-53.8665,0.0,top
U13,187.155,-91.0675,270.0,top
U14,144.45,-78.4175,90.0,top
U15,144.45,-95.6725,90.0,top
U16,144.45,-61.0175,90.0,top
U2,144.45,-113.4175,90.0,top
U3,195.6,-114.0875,0.0,bottom
U4,188.3,-114.1875,0.0,bottom
U5,199.4,-133.5875,90.0,bottom
U6,118.3,-132.1875,0.0,bottom
U7,117.0,-101.9725,0.0,bottom
U8,135.15,-133.2875,0.0,bottom
U9,140.453,-89.7265,0.0,top
