Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C15, C2, C21, C4, C6",0805,8,100n,
"C11, C16, C17, C18",CP_Radial_D5.0mm_P2.00mm,4,10u,
C13,0805,1,1n,
C14,CP_Radial_D5.0mm_P2.00mm,1,47u,
"C19, C20",0805,2,10n,
C3,CP_Radial_D4.0mm_P1.50mm,1,100u,
C5,CP_EIA-3528-21_Kemet-B,1,22u/25V,
C7,CP_EIA-3528-21_Kemet-B,1,10u/16V,
C8,CP_Radial_D4.0mm_P1.50mm,1,22u,
C9,CP_Radial_D5.0mm_P2.00mm,1,22u,
D1,D_MiniMELF,1,1N4148,
"D10, D11, D14, D15, D16, D17, D2, D3, D4, D8, D9",D_MiniMELF,11,3V3,
"D12, D13",D_MiniMELF,2,5V6,
"D5, D6",D_SOD-523,2,LESD5D5.0CT1G-MS,
D7,D_MiniMELF,1,LL4148,
F1,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,2A,
F2,2512,1,2A,
F3,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,Fuse,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,OR-OR SMOKE SENSOR,
J10,PinHeader_1x03_P2.54mm_Vertical,1,CO_SENSOR,
J11,PinHeader_1x03_P2.54mm_Vertical,1,H2_SENSOR,
J12,"CDDC-1,5-5-PV-3,5",1,EXTERNAL_SIGNALS,
J13,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,METER_GRID,
J14,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,METER_PV,
J2,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,1,LCD_DISP,
J3,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,1,7SEG_DISP,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RS485,
J5,PinHeader_1x03_P2.54mm_Vertical,1,DHT22,
J6,"Screw-Terminal-P6-rast-5mm-6,7x30",1,DC_LINE_OUTPUT,
J7,"Screw-Terminal-P2-rast-5mm-6,7x30",1,MAIN_BATT_+24V,
J8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,MAIN_BATT_SHUNT,
J9,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DB9_Socket,
JE1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,EXTERNAL_POWER_SUPPLY_STATUS,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,Jumper_2_Bridged,
K1,G5G-1A-DT1,1,G5G-1A-DT1,
"LED1, LED2",LED_PLCC-2_3.4x3.0mm_KA,2,LED,
LS1,Buzzer,1,BUZZER,
"MOD1, MOD2",LM2596-Step-Down-Conv,2,LM2596-Step-Down,
"Q1, Q10, Q11, Q12, Q2, Q3, Q5, Q8, Q9",SOT-23,9,BC817,
Q4,TO-92_Inline,1,BC556,
"Q6, Q7",SOT-23,2,BSS138,
"R1, R11, R16, R18, R2, R21, R3, R30, R33, R36, R38, R4, R41, R42, R44, R48, R49, R53, R54, R6, R65, R66",0805,22,10k,
"R10, R15",0805,2,47k,
"R12, R14, R57, R59, R60, R62",0805,6,510R,
"R13, R58, R61",0805,3,120R,
"R17, R19, R20, R22, R23",2512,5,"2,5mR",
"R24, R25, R51, R52, R63, R64, R7, R8, R9",0805,9,4k7,
"R26, R27, R29, R32",0805,4,100R,
"R28, R31",0805,2,1k,
"R34, R37",0805,2,0R,
R35,0805,1,1k8,
"R39, R46",0805,2,7k8,
"R40, R47",0805,2,2k2,
"R43, R45, R50",0805,3,220R,
R5,0805,1,2k,
"R55, R56",0805,2,"2,4k",
SW1,JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,1,SW_Push,
U1,DIP-16_W7.62mm_LongPads,1,PCF8574,
"U10, U11",SOIC-8_3.9x4.9mm_P1.27mm,2,ST485EBDR,
U12,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ST485,
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,
U4,TO-220-3_V_Thick_Pads,1,L7812,
U5,esp32_devkit_v1_doit,1,ESP32_DevKit_V1_DOIT,
"U6, U8",VSSOP-10_3x3mm_P0.5mm,2,INA226,
U7,SO-16_3.9x9.9mm_P1.27mm,1,MAX3232,
U9,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm,1,UP7760,
