Designator,Mid X,Mid Y,Rotation,Layer
C1,249.7,-99.568,270.0,bottom
C10,238.43,-55.09,0.0,bottom
C11,249.7,-126.2,180.0,top
C12,247.7,-112.55,270.0,bottom
C13,233.08,-54.17,180.0,bottom
C14,250.1,-113.044885,90.0,top
C15,226.89,-63.86,0.0,bottom
C16,250.155113,-119.489776,90.0,top
C17,236.910225,-126.144889,0.0,top
C18,243.555113,-126.144889,180.0,top
C19,257.4,-63.75,180.0,bottom
C2,205.8,-49.825,270.0,bottom
C20,260.95,-87.95,270.0,bottom
C21,191.8,-71.4,270.0,bottom
C3,240.172599,-78.2,0.0,top
C4,238.4,-72.7,90.0,bottom
C5,259.7725,-75.7725,90.0,bottom
C6,248.4,-68.3,270.0,bottom
C7,259.7725,-81.1275,270.0,bottom
C8,245.8,-78.1,0.0,top
C9,234.2,-118.2,90.0,top
D1,214.5225,-75.1775,90.0,bottom
D10,223.9,-112.2,90.0,bottom
D11,224.8,-122.1,270.0,bottom
D12,181.355,-86.8,0.0,bottom
D13,194.0,-77.8,180.0,bottom
D14,194.15,-65.305,90.0,bottom
D15,182.4,-62.7,0.0,bottom
D16,180.4225,-84.0,180.0,bottom
D17,177.7975,-64.4935,90.0,bottom
D2,206.05,-59.75,270.0,bottom
D3,195.905,-58.725,0.0,bottom
D4,193.0,-53.925,90.0,bottom
D5,196.905,-45.125,180.0,bottom
D6,208.1675,-44.33,0.0,bottom
D7,231.9725,-69.1275,90.0,bottom
D8,241.65,-109.0,180.0,bottom
D9,234.7,-111.945,270.0,bottom
F1,181.2875,-44.2,180.0,top
F2,263.6,-50.8,270.0,bottom
F3,217.05,-53.2,90.0,top
J1,253.15,-35.575,180.0,top
J10,262.75,-70.295,0.0,top
J11,262.8,-81.845,0.0,top
J12,185.2,-111.245,0.0,top
J13,171.13,-78.9,90.0,top
J14,171.13,-94.67,90.0,top
J2,193.45,-94.2,90.0,top
J3,187.14,-125.34,0.0,top
J4,226.15,-35.575,180.0,top
J5,182.15,-94.755,0.0,top
J6,191.605,-35.755,0.0,top
J7,213.6,-35.7125,0.0,top
J8,240.3,-35.525,180.0,top
J9,263.2,-105.7,90.0,top
JE1,200.68,-72.65,0.0,top
K1,240.7,-69.3,180.0,top
LED1,191.05,-82.042,270.0,top
LED2,181.5,-82.042,270.0,top
LS1,217.5,-73.2,0.0,top
MOD1,190.255,-58.65,270.0,top
MOD2,244.5,-51.7,90.0,top
Q1,260.0,-40.15,270.0,bottom
Q10,216.325,-90.25,180.0,bottom
Q11,177.8875,-101.8625,90.0,bottom
Q12,216.4,-82.5,180.0,bottom
Q2,256.032,-41.91,90.0,bottom
Q3,218.54,-77.0475,180.0,bottom
Q4,255.9,-68.6,180.0,top
Q5,251.3875,-82.1,0.0,bottom
Q6,251.85,-54.4125,0.0,bottom
Q7,252.1125,-58.375,90.0,bottom
Q8,182.3875,-101.8,90.0,bottom
Q9,216.3,-86.3,180.0,bottom
R1,260.096,-44.704,90.0,bottom
R10,254.75,-70.45,0.0,bottom
R11,255.8,-83.8,180.0,bottom
R12,205.8,-45.425,90.0,bottom
R13,200.905,-45.125,0.0,bottom
R14,196.0,-49.125,270.0,bottom
R15,247.2,-83.425,180.0,bottom
R16,250.45,-90.05,270.0,bottom
R17,243.825,-45.5,90.0,bottom
R18,202.692,-81.28,180.0,bottom
R19,238.9,-45.475,90.0,bottom
R2,252.73,-40.64,270.0,bottom
R20,248.75,-45.45,90.0,bottom
R21,178.8,-93.15,90.0,bottom
R22,233.975,-45.55,90.0,bottom
