Designator,Footprint,Quantity,Value,LCSC Part #
"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C34_1, C34_2, C34_3, C34_4, C34_5, C34_6, C34_7, C34_8, C35_1, C35_2, C35_3, C35_4, C35_5, C35_6, C35_7, C35_8, C36_1, C36_2, C36_3, C36_4, C36_5, C36_6, C36_7, C36_8, C37_1, C37_2, C37_3, C37_4, C37_5, C37_6, C37_7, C37_8, C39_1, C39_2, C39_3, C39_4",0805,48,100n,
"C30, C31, C32, C33, C38_1, C38_2, C38_3, C38_4, C38_5, C38_6, C38_7, C38_8",6032-mediana-plyta,12,"2,2uF",
"C33_1, C33_2, C33_3, C33_4, C33_5, C33_6, C33_7, C33_8",6032-mediana-plyta,8,22uF,
"D1, D30, D31, D32, D33",SOD-80_1-mediana,5,LL4148,
"D20_1, D20_2, D20_3, D20_4, D20_5, D20_6, D20_7, D20_8",DO-213AB_1-mediana,8,LL4002,
"R1, R2, R3",1206-mediana,3,"4,7k",
R4,1206-mediana,1,10k,
"R82_1, R82_2, R82_3, R82_4, R82_5, R82_6, R82_7, R82_8, R88_1, R88_2, R88_3, R88_4",0805,12,15k,
"R83_1, R83_2, R83_3, R83_4, R83_5, R83_6, R83_7, R83_8",0805,8,200,
"R84_1, R84_2, R84_3, R84_4, R84_5, R84_6, R84_7, R84_8",0805,8,33,
"R85_1, R85_2, R85_3, R85_4, R85_5, R85_6, R85_7, R85_8",0805,8,"2,7k",
"R86_1, R86_2, R86_3, R86_4, R86_5, R86_6, R86_7, R86_8",0805,8,120,
"R87_1, R87_2, R87_3, R87_4, R87_5, R87_6, R87_7, R87_8",1206-mediana,8,"6,8k",
"R89, R90, R91, R92",1206-mediana,4,100,
"R89_1, R89_2, R89_3, R89_4",0805,4,150,
"R90_1, R90_2, R90_3, R90_4, R90_5, R90_6, R90_7, R90_8",0805,8,"6,8k",
"R93, R94, R95, R96",0805,4,0,
"TR1, TR2, TR3, TR4",6032-mediana-plyta,4,"6,8V",
"TR3_1, TR3_2, TR3_3, TR3_4, TR3_5, TR3_6, TR3_7, TR3_8",6032-mediana-plyta,8,33V,
"U13_1, U13_2, U13_3, U13_4, U13_5, U13_6, U13_7, U13_8, U14_1, U14_3, U14_4, U15_2",SO-8-mediana-front,12,LM393,
