Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2, C20",CP_EIA-3528-21_Kemet-B,4,"470u/6,3V",
C10,0805,1,1u/10V,
C11,CP_Radial_D10.0mm_P5.00mm,1,470u/16V,
"C12, C13, C15, C18, C22, C23, C4, C5, C7, C9",0805,10,100n,
C14,CP_Radial_D10.0mm_P5.00mm,1,670u/35V,
C16,0805,1,100p,
C17,CP_Radial_D6.3mm_P2.50mm,1,"560u/6,3V",
C21,CP_Elec_5x5.7,1,"470u/6,3V",
C3,CP_Radial_D6.3mm_P2.50mm,1,"470u/6,3V",
C6,CP_Radial_D10.0mm_P3.50mm,1,470u/40V,
C8,0805,1,0R,
"D1, D2, D20, D21",LED_D5.0mm,4,BPV10,
"D10, D3, D6",D_SMB,3,D_Schottky,
"D11, D12, D13, D8, D9",LED_D5.0mm,5,LED,
"D4, D5",D_SMA,2,D_TVS,
D7,D_MiniMELF,1,1N4148,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,DIODE_BLINK_METER,
J10,TerminalBlock_bornier-2_P5.08mm,1,BATT,
J11,PinHeader_1x06_P2.54mm_Vertical,1,ICP,
J12,JST_XA_B05B-XASK-1-A_1x05_P2.50mm_Vertical,1,LCD_DISPLAY,
J13,PinHeader_1x04_P2.54mm_Vertical,1,DIODE_BLINK_METER_OUT,
"J19, J4",JST_XA_B05B-XASK-1_1x05_P2.50mm_Vertical,2,LCD_CONN,
J2,SolderWire-2.5sqmm_1x02_P7.2mm_D2.4mm_OD3.6mm,1,AC_IN,
J20,PinSocket_1x16_P2.54mm_Vertical,1,LCD16x2,
J3,SolderWire-2.5sqmm_1x02_P7.2mm_D2.4mm_OD3.6mm,1,DC_OUT,
J5,PinHeader_2x09_P2.54mm_Vertical,1,LCD_DISPLAY,
J6,TerminalBlock_bornier-2_P5.08mm,1,SOLAR_PANEL,
J7,PinHeader_1x04_P2.54mm_Vertical,1,RS485,
"J8, J9",JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,2,THERMISTOR,
L1,L_Bourns_SRR1208_12.7x12.7mm,1,L,
L2,L_Radial_D10.0mm_P5.00mm_Fastron_07P,1,220uH,
"Q1, Q10, Q13, Q14, Q2, Q8, Q9",SOT-23,7,BC817,
"Q11, Q12",SOT-23,2,BC807,
"Q19, Q7",TO-92_Inline_LITTLE_BIGGER,2,BC547,
"Q3, Q4, Q5, Q6",TO-220-3_Vertical-little-bigger pads,4,IRF540N,
"R1, R2, R48, R49",0805,4,47k,
"R10, R11, R78, R79",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,R,
"R12, R13, R80, R81",1206,4,R,
"R14, R72",0805,2,39k,
"R15, R23, R24, R31, R32, R33, R34, R36, R40, R42, R44, R46, R5, R6, R7, R71, R73, R74, R75, R76, R77, R8, R9",0805,23,10k,
"R16, R52, R54, R55",0805,4,10R,
"R17, R30",2512,2,50m,
"R18, R20, R21, R22",0805,4,510R,
R19,0805,1,120R,
"R25, R26, R27, R29",0805,4,100K,
R28,2512,1,50mR,
"R3, R4, R50, R51",0805,4,22k,
"R35, R37, R43, R45, R47",0805,5,220R,
R38,2512,1,500m,
R39,0805,1,1k,
R41,0805,1,3k3,
R53,2512,1,100m,
"RV1, RV3",Potentiometer_ACP_CA9-V10_Vertical,2,10k,
U1,DFN-8-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,1,LT4320xDD-1,
U10,TO-92_Inline_LITTLE_BIGGER,1,TL431LP,
"U14, U2",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC595,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ST485,
"U4, U7",VSSOP-10_3x3mm_P0.5mm,2,INA226,
U5,MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm,1,LT3652EMSE,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
U8,DIP-8_W7.62mm,1,MC34063AP,
U9,SOIC-18W_7.5x11.6mm_P1.27mm,1,PIC16F819-ISO,
