Designator,Mid X,Mid Y,Rotation,Layer
C1,211.70525,-59.99725,90.0,bottom
C10,170.8,-110.085,90.0,bottom
C11,184.55,-106.7,270.0,top
C12,192.85,-120.85,180.0,bottom
C13,160.125,-138.48,270.0,bottom
C14,149.825,-139.44,270.0,top
C15,194.5,-128.84,270.0,bottom
C16,162.925,-136.48,90.0,bottom
C17,180.925,-138.85762,90.0,top
C18,151.6,-117.8,0.0,bottom
C19,170.43,-77.7875,90.0,bottom
C2,205.90525,-59.97725,90.0,bottom
C20,174.05,-77.795,90.0,bottom
C21,170.85,-78.25,90.0,top
C22,154.15,-81.335,90.0,bottom
C23,189.675,-117.725,270.0,bottom
C3,201.382379,-59.599998,270.0,top
C4,217.31525,-63.64325,180.0,bottom
C5,223.95,-118.525,0.0,bottom
C6,159.9,-109.602677,270.0,top
C7,154.6,-124.6,90.0,bottom
C8,164.8,-101.02,90.0,bottom
C9,184.4,-133.225,90.0,bottom
D1,202.425,-89.99,90.0,top
D10,171.525,-135.14,180.0,bottom
D11,208.51,-101.575,0.0,top
D12,215.775,-101.6,0.0,top
D13,223.275,-101.6,0.0,top
D2,232.325,-89.99,90.0,top
D20,232.5,-80.165,90.0,top
D21,202.4,-80.065,90.0,top
D3,152.75,-104.85,90.0,bottom
D4,231.65,-107.45,180.0,bottom
D5,228.05,-123.725,180.0,bottom
D6,168.1,-114.335,0.0,bottom
D7,174.745,-109.5,180.0,bottom
D8,232.525,-127.275,0.0,top
D9,232.51875,-133.9,0.0,top
J1,194.175,-84.05,90.0,bottom
J10,200.125,-106.75,90.0,top
J11,215.1,-127.17,0.0,top
J12,216.425,-141.225,180.0,top
J13,218.36,-78.3,270.0,bottom
J19,178.22,-80.855,90.0,top
J20,160.89,-69.78,90.0,bottom
J4,208.60525,-63.79725,90.0,top
J5,229.83025,-59.90725,0.0,bottom
J6,142.0,-110.485,90.0,top
J7,232.975,-115.65,180.0,top
J8,201.45,-141.25,180.0,top
J9,189.9,-141.225,180.0,top
L1,172.5,-108.35,90.0,top
L2,171.925,-139.54,0.0,top
Q1,209.65,-90.4375,90.0,bottom
Q10,210.75,-106.1375,270.0,bottom
Q11,217.775,-105.0375,270.0,bottom
Q12,225.125,-104.8,270.0,bottom
Q13,227.3375,-80.05,180.0,bottom
Q14,207.4,-80.4,90.0,bottom
Q19,171.05,-86.515,0.0,top
Q2,225.25,-91.2375,90.0,bottom
Q3,172.13,-50.625,0.0,top
Q4,160.61,-59.67,180.0,top
Q5,160.61,-50.625,0.0,top
Q6,172.13,-59.615,180.0,top
Q7,207.38525,-51.30725,270.0,top
Q8,223.825,-127.9625,0.0,bottom
Q9,223.84375,-134.225,0.0,bottom
R1,209.8,-87.0,180.0,bottom
R10,218.62525,-49.79725,180.0,top
R11,218.57525,-52.89725,180.0,top
R12,218.50525,-52.57725,180.0,top
R13,218.50525,-49.42225,180.0,top
R14,219.00525,-70.09725,270.0,bottom
R15,221.50525,-66.16725,90.0,bottom
R16,154.6,-117.5,90.0,bottom
R17,147.825,-105.25,90.0,bottom
R18,228.325,-119.05,90.0,bottom
R19,228.3,-115.15,90.0,bottom
R2,223.0,-88.2,0.0,bottom
R20,228.3,-111.25,90.0,bottom
R21,156.3,-107.885,270.0,bottom
R22,156.3,-111.95,270.0,bottom
R23,160.1,-101.02,270.0,bottom
R24,162.6,-101.0,270.0,bottom
R25,203.75,-137.8,180.0,bottom
R26,178.625,-107.7,90.0,bottom
R27,178.65,-111.9,90.0,bottom
R28,178.3,-103.25,180.0,bottom
R29,192.2,-136.8,180.0,bottom
R3,205.7,-91.4,180.0,bottom
R30,193.4,-105.9,270.0,bottom
R31,147.775,-126.125,180.0,bottom
R32,147.8,-123.95,180.0,bottom
R33,218.175,-122.075,90.0,bottom
R34,219.825,-128.725,0.0,bottom
R35,227.975,-127.75,180.0,bottom
R36,220.375,-134.25,90.0,bottom
R37,227.81875,-134.1,180.0,bottom
R38,154.025,-139.74,270.0,bottom
R39,212.5,-118.575,0.0,bottom
R4,229.1,-91.45,0.0,bottom
R40,159.925,-132.44,180.0,bottom
R41,163.925,-132.44,180.0,bottom
R42,211.725,-110.55,270.0,bottom
R43,207.3,-104.9,90.0,bottom
R44,218.75,-109.0,270.0,bottom
R45,214.8,-104.975,90.0,bottom
R46,224.85,-108.975,0.0,bottom
R47,222.0,-104.8,90.0,bottom
R48,227.3,-77.2,0.0,bottom
R49,207.4,-77.3,180.0,bottom
R5,233.99525,-58.62725,90.0,top
R50,227.1,-83.0,0.0,bottom
R51,206.4,-83.6,180.0,bottom
R52,148.6,-117.4,270.0,bottom
R53,188.9,-105.9,270.0,bottom
R54,189.625,-113.8,90.0,bottom
R55,187.5,-118.375,270.0,bottom
R6,233.95525,-54.74725,90.0,top
R7,234.00525,-52.60725,270.0,bottom
R71,144.92,-76.855,90.0,bottom
R72,144.92,-80.655,270.0,bottom
R73,166.02,-87.455,180.0,bottom
R74,165.92,-72.655,0.0,bottom
R75,162.32,-72.755,0.0,bottom
R76,159.42,-73.455,90.0,bottom
R77,156.52,-72.755,180.0,bottom
R78,144.8825,-87.275,0.0,top
R79,157.1825,-87.405,180.0,top
R8,234.03525,-57.37725,90.0,bottom
R80,157.0825,-87.255,0.0,bottom
R81,144.8825,-87.255,180.0,bottom
R9,211.00525,-52.99725,90.0,bottom
RV1,219.20525,-66.62225,0.0,top
RV3,146.85,-79.425,0.0,top
U1,166.2725,-55.07,270.0,bottom
U10,207.855,-118.34,0.0,top
U14,160.505,-79.955,180.0,bottom
U2,219.80525,-58.49725,180.0,bottom
U3,222.2,-114.45,90.0,bottom
U4,151.7,-123.4,90.0,bottom
U5,166.45,-107.695,90.0,bottom
U6,188.55,-131.4,180.0,bottom
U7,194.375,-117.975,0.0,bottom
U8,161.525,-138.78,180.0,top
U9,202.875,-127.515,270.0,bottom
