Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P3.50mm,1,"470u/6,3V",
C2,0805,1,100n,
C3,CP_Radial_D8.0mm_P2.50mm,1,470u/16V,
C4,C_Rect_L16.5mm_W6.0mm_P15.00mm_MKT,1,22n/250V AC,
C5,C_Rect_L16.5mm_W6.0mm_P15.00mm_MKT,1,10n/250V,
"D1, D2",LED_D5.0mm,2,LED,
"D10, D11, D12, D9",D_MiniMELF,4,3V3,
"D3, D4",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
"D5, D6, D7, D8",DO-41_SOD81_P10.16mm_Horizontal,4,1N4007,
F1,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,100mA/250V,
F2,2010,1,300mA,
F3,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,10A/250V,
"J1, J7",JST_XH_1x06_P2.54mm_Vertical,2,USER_PANEL,
J2,JST_XA_1x05_P2.50mm_Vertical,1,DISPLAY,
J3,JST_XA_1x03_P2.54mm_Vertical,1,DS18B20,
J4,Conn-01x06,1,PROG_INTERFACE,
J5,Screw-Terminal-5.00mm-5pin,1,POWER_OUTPUT,
MOD1,MP1504_Mini_3A_Step_Down_Conv,1,LM2596-Step-Down,
"Q1, Q2",SOT-23,2,BC807,
"Q3, Q4, Q5",SOT-23,3,BC817,
Q6,TO-220-3_V_Wide_Legs,1,BT139-600,
"R1, R10, R11, R14, R15, R16, R19, R2, R20, R3, R32, R6, R7, R8, R9",0805,15,10K,
R12,0805,1,33k,
"R13, R28, R29",0805,3,1k,
R17,0805,1,47k,
R18,0805,1,47R,
"R21, R24, R25, R26",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,200R,
"R22, R23",0805,2,560R,
R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~,
"R30, R31",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,50R,
"R4, R5",0805,2,220R,
RV1,RV_Disc_D7mm_W3.5mm_P5mm,1,S10K275,
"SW1, SW2, SW3",SW_PUSH_6mm,3,SW_Push,
T1,Transformer TS2-14,1,Transformer_1P_1S,
U1,ESP-07,1,ESP-07,
U2,DIP-8_W7.62mm_LongPads,1,LM393,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,DIP-6_W7.62mm_LongPads,1,MOC3033M,
