Designator,Mid X,Mid Y,Rotation,Layer
C1,141.725,-76.247349,90.0,top
C2,123.575,-82.35,0.0,bottom
C3,196.8,-74.802651,270.0,top
C4,165.6,-117.65,0.0,top
C5,128.9,-110.4,0.0,top
D1,181.085,-41.95,0.0,top
D10,130.59,-64.375,270.0,bottom
D11,117.15,-58.875,180.0,bottom
D12,133.29,-64.375,270.0,bottom
D2,189.925,-41.95,0.0,top
D3,169.3,-63.6,270.0,top
D4,172.348,-63.6,270.0,top
D5,188.1,-74.925,270.0,top
D6,183.575,-74.9,270.0,top
D7,179.475,-74.89,90.0,top
D8,175.05,-74.915,90.0,top
D9,130.625,-59.325,180.0,bottom
F1,190.3,-117.025,0.0,top
F2,169.625,-73.175,0.0,bottom
F3,180.56,-127.15,180.0,top
J1,123.45,-42.1,0.0,bottom
J2,117.65,-98.625,0.0,top
J3,140.275,-56.1,180.0,top
J4,124.915,-54.7,90.0,top
J5,153.9,-127.85,180.0,top
J7,156.15,-56.1,180.0,top
MOD1,156.895,-82.745,270.0,top
Q1,160.8875,-63.9875,180.0,bottom
Q2,156.45,-63.975,0.0,bottom
Q3,115.64,-64.925,180.0,bottom
Q4,126.765,-64.4375,0.0,bottom
Q5,156.8375,-97.95,0.0,bottom
Q6,118.91,-125.273466,180.0,top
R1,165.1,-63.2,180.0,bottom
R10,120.525,-74.95,270.0,bottom
R11,139.0,-59.1,180.0,bottom
R12,179.475,-55.525,270.0,bottom
R13,178.4,-58.7,0.0,bottom
R14,184.42,-65.786,180.0,bottom
R15,118.225,-74.9,90.0,bottom
R16,150.6,-97.925,270.0,bottom
R17,153.125,-98.0,270.0,bottom
R18,161.1,-98.0,0.0,bottom
R19,120.125,-63.625,180.0,bottom
R2,152.0,-64.8,0.0,bottom
R20,121.415,-65.875,0.0,bottom
R21,158.3,-111.4,0.0,top
R22,126.295,-58.8,90.0,bottom
R23,123.595,-58.8,90.0,bottom
R24,148.2,-114.3,90.0,top
R25,140.5,-119.6,0.0,top
R26,137.0,-127.9,90.0,top
R27,131.8,-120.1,270.0,top
R28,115.275,-55.15,90.0,bottom
R29,121.145,-58.8,90.0,bottom
R3,152.3,-59.7,270.0,bottom
R30,107.3,-122.9,90.0,top
R31,113.8,-113.5,45.0,top
R32,155.0,-59.7,270.0,bottom
R4,160.0,-60.0,270.0,bottom
R5,157.45,-60.075,270.0,bottom
R6,115.525,-82.4,0.0,bottom
R7,170.469,-54.372,90.0,bottom
R8,122.725,-74.95,270.0,bottom
R9,174.244,-55.372,0.0,bottom
RV1,123.0,-117.8,180.0,top
SW1,139.55,-41.95,180.0,top
SW2,154.05,-41.95,180.0,top
SW3,168.55,-41.95,180.0,top
T1,185.65,-97.0,180.0,top
U1,115.45,-78.3,90.0,top
U2,186.85,-58.2,0.0,top
U3,143.509564,-84.774372,180.0,bottom
U4,160.837048,-104.525,270.0,top
